73. STANDARDIZED PARENT COMPANY NAME,14. FACILITY STATE,100. DIOXIN DISTRIBUTION 16,101. DIOXIN DISTRIBUTION 17,85. DIOXIN DISTRIBUTION 1,86. DIOXIN DISTRIBUTION 2,87. DIOXIN DISTRIBUTION 3,88. DIOXIN DISTRIBUTION 4,89. DIOXIN DISTRIBUTION 5,90. DIOXIN DISTRIBUTION 6,91. DIOXIN DISTRIBUTION 7,92. DIOXIN DISTRIBUTION 8,93. DIOXIN DISTRIBUTION 9,94. DIOXIN DISTRIBUTION 10,95. DIOXIN DISTRIBUTION 11,96. DIOXIN DISTRIBUTION 12,97. DIOXIN DISTRIBUTION 13,98. DIOXIN DISTRIBUTION 14,99. DIOXIN DISTRIBUTION 15
3A COMPOSITES USA INC,KY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3M CO,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3M CO,AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3M CO,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3M CO,CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3M CO,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3M CO,IA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3M CO,IL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3M CO,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3M CO,KY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3M CO,MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3M CO,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
